pay_date,emp_id,employee_name,department,gross_pay,federal_tax,fica,state_ui,net_pay
02/05/2025,E7024,Deborah Smith,G&A,5541.67,720.42,423.94,33.25,4364.06
02/05/2025,E7025,Hiro Harris,G&A,5491.67,713.92,420.11,32.95,4324.69
02/20/2025,E7001,Priya Clark,Warehouse & Ops,2220.83,288.71,169.89,13.32,1748.91
02/20/2025,E7002,Ashley Baker,Warehouse & Ops,2312.5,300.62,176.91,13.88,1821.09
02/20/2025,E7003,Karen Ramirez,Warehouse & Ops,1916.67,249.17,146.63,11.5,1509.37
02/20/2025,E7004,Shirley Williams,Warehouse & Ops,1954.17,254.04,149.49,11.73,1538.91
02/20/2025,E7005,Deborah Gonzalez,Warehouse & Ops,2333.33,303.33,178.5,14.0,1837.5
02/20/2025,E7006,Omar Gonzalez,Warehouse & Ops,1779.17,231.29,136.11,10.68,1401.09
02/20/2025,E7007,Deborah Walker,Warehouse & Ops,2308.33,300.08,176.59,13.85,1817.81
02/20/2025,E7008,Angela Mitchell,Warehouse & Ops,1691.67,219.92,129.41,10.15,1332.19
02/20/2025,E7009,Robert King,Warehouse & Ops,2179.17,283.29,166.71,13.08,1716.09
02/20/2025,E7012,Michelle Smith,Warehouse & Ops,1616.67,210.17,123.68,9.7,1273.12
02/20/2025,E7013,Ashley Davis,Marketing & CS,2325.0,302.25,177.86,13.95,1830.94
02/20/2025,E7014,Steven Hall,Marketing & CS,2654.17,345.04,203.04,15.93,2090.16
02/20/2025,E7015,Ashley Ramirez,Marketing & CS,3450.0,448.5,263.93,20.7,2716.87
02/20/2025,E7016,Melissa Adams,Marketing & CS,3804.17,494.54,291.02,22.83,2995.78
02/20/2025,E7017,George Jackson,Marketing & CS,2641.67,343.42,202.09,15.85,2080.31
02/20/2025,E7018,Eric Roberts,Marketing & CS,2616.67,340.17,200.18,15.7,2060.62
02/20/2025,E7021,Timothy Thompson,G&A,4883.33,634.83,373.57,29.3,3845.63
02/20/2025,E7022,Andrew Scott,G&A,3779.17,491.29,289.11,22.68,2976.09
02/20/2025,E7023,Timothy Davis,G&A,5245.83,681.96,401.31,31.47,4131.09
02/20/2025,E7024,Deborah Smith,G&A,5541.67,720.42,423.94,33.25,4364.06
02/20/2025,E7025,Hiro Harris,G&A,5491.67,713.92,420.11,32.95,4324.69
03/05/2025,E7001,Priya Clark,Warehouse & Ops,2220.83,288.71,169.89,13.32,1748.91
03/05/2025,E7002,Ashley Baker,Warehouse & Ops,2312.5,300.62,176.91,13.88,1821.09
03/05/2025,E7003,Karen Ramirez,Warehouse & Ops,1916.67,249.17,146.63,11.5,1509.37
03/05/2025,E7004,Shirley Williams,Warehouse & Ops,1954.17,254.04,149.49,11.73,1538.91
03/05/2025,E7005,Deborah Gonzalez,Warehouse & Ops,2333.33,303.33,178.5,14.0,1837.5
03/05/2025,E7006,Omar Gonzalez,Warehouse & Ops,1779.17,231.29,136.11,10.68,1401.09
03/05/2025,E7007,Deborah Walker,Warehouse & Ops,2308.33,300.08,176.59,13.85,1817.81
03/05/2025,E7008,Angela Mitchell,Warehouse & Ops,1691.67,219.92,129.41,10.15,1332.19
03/05/2025,E7009,Robert King,Warehouse & Ops,2179.17,283.29,166.71,13.08,1716.09
03/05/2025,E7012,Michelle Smith,Warehouse & Ops,1616.67,210.17,123.68,9.7,1273.12
03/05/2025,E7013,Ashley Davis,Marketing & CS,2325.0,302.25,177.86,13.95,1830.94
03/05/2025,E7014,Steven Hall,Marketing & CS,2654.17,345.04,203.04,15.93,2090.16
03/05/2025,E7015,Ashley Ramirez,Marketing & CS,3450.0,448.5,263.93,20.7,2716.87
03/05/2025,E7016,Melissa Adams,Marketing & CS,3804.17,494.54,291.02,22.83,2995.78
03/05/2025,E7017,George Jackson,Marketing & CS,2641.67,343.42,202.09,15.85,2080.31
03/05/2025,E7018,Eric Roberts,Marketing & CS,2616.67,340.17,200.18,15.7,2060.62
03/05/2025,E7021,Timothy Thompson,G&A,4883.33,634.83,373.57,29.3,3845.63
03/05/2025,E7022,Andrew Scott,G&A,3779.17,491.29,289.11,22.68,2976.09
03/05/2025,E7023,Timothy Davis,G&A,5245.83,681.96,401.31,31.47,4131.09
03/05/2025,E7024,Deborah Smith,G&A,5541.67,720.42,423.94,33.25,4364.06
03/05/2025,E7025,Hiro Harris,G&A,5491.67,713.92,420.11,32.95,4324.69
03/20/2025,E7001,Priya Clark,Warehouse & Ops,2220.83,288.71,169.89,13.32,1748.91
03/20/2025,E7002,Ashley Baker,Warehouse & Ops,2312.5,300.62,176.91,13.88,1821.09
03/20/2025,E7003,Karen Ramirez,Warehouse & Ops,1916.67,249.17,146.63,11.5,1509.37
03/20/2025,E7004,Shirley Williams,Warehouse & Ops,1954.17,254.04,149.49,11.73,1538.91
03/20/2025,E7005,Deborah Gonzalez,Warehouse & Ops,2333.33,303.33,178.5,14.0,1837.5
03/20/2025,E7006,Omar Gonzalez,Warehouse & Ops,1779.17,231.29,136.11,10.68,1401.09
03/20/2025,E7007,Deborah Walker,Warehouse & Ops,2308.33,300.08,176.59,13.85,1817.81
03/20/2025,E7008,Angela Mitchell,Warehouse & Ops,1691.67,219.92,129.41,10.15,1332.19
03/20/2025,E7009,Robert King,Warehouse & Ops,2179.17,283.29,166.71,13.08,1716.09
03/20/2025,E7012,Michelle Smith,Warehouse & Ops,1616.67,210.17,123.68,9.7,1273.12
03/20/2025,E7013,Ashley Davis,Marketing & CS,2325.0,302.25,177.86,13.95,1830.94
03/20/2025,E7014,Steven Hall,Marketing & CS,2654.17,345.04,203.04,15.93,2090.16
03/20/2025,E7015,Ashley Ramirez,Marketing & CS,3450.0,448.5,263.93,20.7,2716.87
03/20/2025,E7016,Melissa Adams,Marketing & CS,3804.17,494.54,291.02,22.83,2995.78
03/20/2025,E7017,George Jackson,Marketing & CS,2641.67,343.42,202.09,15.85,2080.31
03/20/2025,E7018,Eric Roberts,Marketing & CS,2616.67,340.17,200.18,15.7,2060.62
03/20/2025,E7021,Timothy Thompson,G&A,4883.33,634.83,373.57,29.3,3845.63
03/20/2025,E7022,Andrew Scott,G&A,3779.17,491.29,289.11,22.68,2976.09
03/20/2025,E7023,Timothy Davis,G&A,5245.83,681.96,401.31,31.47,4131.09
03/20/2025,E7024,Deborah Smith,G&A,5541.67,720.42,423.94,33.25,4364.06
03/20/2025,E7025,Hiro Harris,G&A,5491.67,713.92,420.11,32.95,4324.69
04/05/2025,E7001,Priya Clark,Warehouse & Ops,2220.83,288.71,169.89,13.32,1748.91
04/05/2025,E7002,Ashley Baker,Warehouse & Ops,2312.5,300.62,176.91,13.88,1821.09
04/05/2025,E7003,Karen Ramirez,Warehouse & Ops,1916.67,249.17,146.63,11.5,1509.37
04/05/2025,E7004,Shirley Williams,Warehouse & Ops,1954.17,254.04,149.49,11.73,1538.91
04/05/2025,E7005,Deborah Gonzalez,Warehouse & Ops,2333.33,303.33,178.5,14.0,1837.5
04/05/2025,E7006,Omar Gonzalez,Warehouse & Ops,1779.17,231.29,136.11,10.68,1401.09
04/05/2025,E7007,Deborah Walker,Warehouse & Ops,2308.33,300.08,176.59,13.85,1817.81
04/05/2025,E7008,Angela Mitchell,Warehouse & Ops,1691.67,219.92,129.41,10.15,1332.19
04/05/2025,E7009,Robert King,Warehouse & Ops,2179.17,283.29,166.71,13.08,1716.09
04/05/2025,E7010,Shirley Walker,Warehouse & Ops,2212.5,287.62,169.26,13.28,1742.34
04/05/2025,E7012,Michelle Smith,Warehouse & Ops,1616.67,210.17,123.68,9.7,1273.12
04/05/2025,E7013,Ashley Davis,Marketing & CS,2325.0,302.25,177.86,13.95,1830.94
04/05/2025,E7014,Steven Hall,Marketing & CS,2654.17,345.04,203.04,15.93,2090.16
04/05/2025,E7015,Ashley Ramirez,Marketing & CS,3450.0,448.5,263.93,20.7,2716.87
04/05/2025,E7016,Melissa Adams,Marketing & CS,3804.17,494.54,291.02,22.83,2995.78
04/05/2025,E7017,George Jackson,Marketing & CS,2641.67,343.42,202.09,15.85,2080.31
04/05/2025,E7018,Eric Roberts,Marketing & CS,2616.67,340.17,200.18,15.7,2060.62
04/05/2025,E7019,Karen Flores,Marketing & CS,3787.5,492.38,289.74,22.73,2982.65
04/05/2025,E7020,Ryan King,Marketing & CS,3454.17,449.04,264.24,20.73,2720.16
04/05/2025,E7021,Timothy Thompson,G&A,4883.33,634.83,373.57,29.3,3845.63
04/05/2025,E7022,Andrew Scott,G&A,3779.17,491.29,289.11,22.68,2976.09
04/05/2025,E7023,Timothy Davis,G&A,5245.83,681.96,401.31,31.47,4131.09
04/05/2025,E7024,Deborah Smith,G&A,5541.67,720.42,423.94,33.25,4364.06
04/05/2025,E7025,Hiro Harris,G&A,5491.67,713.92,420.11,32.95,4324.69
04/20/2025,E7001,Priya Clark,Warehouse & Ops,2220.83,288.71,169.89,13.32,1748.91
04/20/2025,E7002,Ashley Baker,Warehouse & Ops,2312.5,300.62,176.91,13.88,1821.09
04/20/2025,E7003,Karen Ramirez,Warehouse & Ops,1916.67,249.17,146.63,11.5,1509.37
04/20/2025,E7004,Shirley Williams,Warehouse & Ops,1954.17,254.04,149.49,11.73,1538.91
04/20/2025,E7005,Deborah Gonzalez,Warehouse & Ops,2333.33,303.33,178.5,14.0,1837.5
04/20/2025,E7006,Omar Gonzalez,Warehouse & Ops,1779.17,231.29,136.11,10.68,1401.09
04/20/2025,E7007,Deborah Walker,Warehouse & Ops,2308.33,300.08,176.59,13.85,1817.81
04/20/2025,E7008,Angela Mitchell,Warehouse & Ops,1691.67,219.92,129.41,10.15,1332.19
04/20/2025,E7009,Robert King,Warehouse & Ops,2179.17,283.29,166.71,13.08,1716.09
04/20/2025,E7010,Shirley Walker,Warehouse & Ops,2212.5,287.62,169.26,13.28,1742.34
04/20/2025,E7012,Michelle Smith,Warehouse & Ops,1616.67,210.17,123.68,9.7,1273.12
04/20/2025,E7013,Ashley Davis,Marketing & CS,2325.0,302.25,177.86,13.95,1830.94
04/20/2025,E7014,Steven Hall,Marketing & CS,2654.17,345.04,203.04,15.93,2090.16
04/20/2025,E7015,Ashley Ramirez,Marketing & CS,3450.0,448.5,263.93,20.7,2716.87
04/20/2025,E7016,Melissa Adams,Marketing & CS,3804.17,494.54,291.02,22.83,2995.78
04/20/2025,E7017,George Jackson,Marketing & CS,2641.67,343.42,202.09,15.85,2080.31
04/20/2025,E7018,Eric Roberts,Marketing & CS,2616.67,340.17,200.18,15.7,2060.62
04/20/2025,E7019,Karen Flores,Marketing & CS,3787.5,492.38,289.74,22.73,2982.65
04/20/2025,E7020,Ryan King,Marketing & CS,3454.17,449.04,264.24,20.73,2720.16
04/20/2025,E7021,Timothy Thompson,G&A,4883.33,634.83,373.57,29.3,3845.63
04/20/2025,E7022,Andrew Scott,G&A,3779.17,491.29,289.11,22.68,2976.09
04/20/2025,E7023,Timothy Davis,G&A,5245.83,681.96,401.31,31.47,4131.09
04/20/2025,E7024,Deborah Smith,G&A,5541.67,720.42,423.94,33.25,4364.06
04/20/2025,E7025,Hiro Harris,G&A,5491.67,713.92,420.11,32.95,4324.69
05/05/2025,E7001,Priya Clark,Warehouse & Ops,2220.83,288.71,169.89,13.32,1748.91
05/05/2025,E7002,Ashley Baker,Warehouse & Ops,2312.5,300.62,176.91,13.88,1821.09
05/05/2025,E7003,Karen Ramirez,Warehouse & Ops,1916.67,249.17,146.63,11.5,1509.37
05/05/2025,E7004,Shirley Williams,Warehouse & Ops,1954.17,254.04,149.49,11.73,1538.91
05/05/2025,E7005,Deborah Gonzalez,Warehouse & Ops,2333.33,303.33,178.5,14.0,1837.5
05/05/2025,E7006,Omar Gonzalez,Warehouse & Ops,1779.17,231.29,136.11,10.68,1401.09
05/05/2025,E7007,Deborah Walker,Warehouse & Ops,2308.33,300.08,176.59,13.85,1817.81
05/05/2025,E7008,Angela Mitchell,Warehouse & Ops,1691.67,219.92,129.41,10.15,1332.19
05/05/2025,E7009,Robert King,Warehouse & Ops,2179.17,283.29,166.71,13.08,1716.09
05/05/2025,E7010,Shirley Walker,Warehouse & Ops,2212.5,287.62,169.26,13.28,1742.34
05/05/2025,E7012,Michelle Smith,Warehouse & Ops,1616.67,210.17,123.68,9.7,1273.12
05/05/2025,E7013,Ashley Davis,Marketing & CS,2325.0,302.25,177.86,13.95,1830.94
05/05/2025,E7014,Steven Hall,Marketing & CS,2654.17,345.04,203.04,15.93,2090.16
05/05/2025,E7015,Ashley Ramirez,Marketing & CS,3450.0,448.5,263.93,20.7,2716.87
05/05/2025,E7016,Melissa Adams,Marketing & CS,3804.17,494.54,291.02,22.83,2995.78
05/05/2025,E7017,George Jackson,Marketing & CS,2641.67,343.42,202.09,15.85,2080.31
05/05/2025,E7018,Eric Roberts,Marketing & CS,2616.67,340.17,200.18,15.7,2060.62
05/05/2025,E7019,Karen Flores,Marketing & CS,3787.5,492.38,289.74,22.73,2982.65
05/05/2025,E7020,Ryan King,Marketing & CS,3454.17,449.04,264.24,20.73,2720.16
05/05/2025,E7021,Timothy Thompson,G&A,4883.33,634.83,373.57,29.3,3845.63
05/05/2025,E7022,Andrew Scott,G&A,3779.17,491.29,289.11,22.68,2976.09
05/05/2025,E7023,Timothy Davis,G&A,5245.83,681.96,401.31,31.47,4131.09
05/05/2025,E7024,Deborah Smith,G&A,5541.67,720.42,423.94,33.25,4364.06
05/05/2025,E7025,Hiro Harris,G&A,5491.67,713.92,420.11,32.95,4324.69
05/20/2025,E7001,Priya Clark,Warehouse & Ops,2220.83,288.71,169.89,13.32,1748.91
05/20/2025,E7002,Ashley Baker,Warehouse & Ops,2312.5,300.62,176.91,13.88,1821.09
05/20/2025,E7003,Karen Ramirez,Warehouse & Ops,1916.67,249.17,146.63,11.5,1509.37
05/20/2025,E7004,Shirley Williams,Warehouse & Ops,1954.17,254.04,149.49,11.73,1538.91
05/20/2025,E7005,Deborah Gonzalez,Warehouse & Ops,2333.33,303.33,178.5,14.0,1837.5
05/20/2025,E7006,Omar Gonzalez,Warehouse & Ops,1779.17,231.29,136.11,10.68,1401.09
05/20/2025,E7007,Deborah Walker,Warehouse & Ops,2308.33,300.08,176.59,13.85,1817.81
05/20/2025,E7008,Angela Mitchell,Warehouse & Ops,1691.67,219.92,129.41,10.15,1332.19
05/20/2025,E7009,Robert King,Warehouse & Ops,2179.17,283.29,166.71,13.08,1716.09
05/20/2025,E7010,Shirley Walker,Warehouse & Ops,2212.5,287.62,169.26,13.28,1742.34
05/20/2025,E7012,Michelle Smith,Warehouse & Ops,1616.67,210.17,123.68,9.7,1273.12
05/20/2025,E7013,Ashley Davis,Marketing & CS,2325.0,302.25,177.86,13.95,1830.94
05/20/2025,E7014,Steven Hall,Marketing & CS,2654.17,345.04,203.04,15.93,2090.16
05/20/2025,E7015,Ashley Ramirez,Marketing & CS,3450.0,448.5,263.93,20.7,2716.87
05/20/2025,E7016,Melissa Adams,Marketing & CS,3804.17,494.54,291.02,22.83,2995.78
05/20/2025,E7017,George Jackson,Marketing & CS,2641.67,343.42,202.09,15.85,2080.31
05/20/2025,E7018,Eric Roberts,Marketing & CS,2616.67,340.17,200.18,15.7,2060.62
05/20/2025,E7019,Karen Flores,Marketing & CS,3787.5,492.38,289.74,22.73,2982.65
05/20/2025,E7020,Ryan King,Marketing & CS,3454.17,449.04,264.24,20.73,2720.16
05/20/2025,E7021,Timothy Thompson,G&A,4883.33,634.83,373.57,29.3,3845.63
05/20/2025,E7022,Andrew Scott,G&A,3779.17,491.29,289.11,22.68,2976.09
05/20/2025,E7023,Timothy Davis,G&A,5245.83,681.96,401.31,31.47,4131.09
05/20/2025,E7024,Deborah Smith,G&A,5541.67,720.42,423.94,33.25,4364.06
05/20/2025,E7025,Hiro Harris,G&A,5491.67,713.92,420.11,32.95,4324.69
06/05/2025,E7001,Priya Clark,Warehouse & Ops,2220.83,288.71,169.89,13.32,1748.91
06/05/2025,E7002,Ashley Baker,Warehouse & Ops,2312.5,300.62,176.91,13.88,1821.09
06/05/2025,E7003,Karen Ramirez,Warehouse & Ops,1916.67,249.17,146.63,11.5,1509.37
06/05/2025,E7004,Shirley Williams,Warehouse & Ops,1954.17,254.04,149.49,11.73,1538.91
06/05/2025,E7005,Deborah Gonzalez,Warehouse & Ops,2333.33,303.33,178.5,14.0,1837.5
06/05/2025,E7006,Omar Gonzalez,Warehouse & Ops,1779.17,231.29,136.11,10.68,1401.09
06/05/2025,E7007,Deborah Walker,Warehouse & Ops,2308.33,300.08,176.59,13.85,1817.81
06/05/2025,E7008,Angela Mitchell,Warehouse & Ops,1691.67,219.92,129.41,10.15,1332.19
06/05/2025,E7009,Robert King,Warehouse & Ops,2179.17,283.29,166.71,13.08,1716.09
06/05/2025,E7010,Shirley Walker,Warehouse & Ops,2212.5,287.62,169.26,13.28,1742.34
06/05/2025,E7012,Michelle Smith,Warehouse & Ops,1616.67,210.17,123.68,9.7,1273.12
06/05/2025,E7013,Ashley Davis,Marketing & CS,2325.0,302.25,177.86,13.95,1830.94
06/05/2025,E7014,Steven Hall,Marketing & CS,2654.17,345.04,203.04,15.93,2090.16
06/05/2025,E7015,Ashley Ramirez,Marketing & CS,3450.0,448.5,263.93,20.7,2716.87
06/05/2025,E7016,Melissa Adams,Marketing & CS,3804.17,494.54,291.02,22.83,2995.78
06/05/2025,E7017,George Jackson,Marketing & CS,2641.67,343.42,202.09,15.85,2080.31
06/05/2025,E7018,Eric Roberts,Marketing & CS,2616.67,340.17,200.18,15.7,2060.62
06/05/2025,E7019,Karen Flores,Marketing & CS,3787.5,492.38,289.74,22.73,2982.65
06/05/2025,E7020,Ryan King,Marketing & CS,3454.17,449.04,264.24,20.73,2720.16
06/05/2025,E7021,Timothy Thompson,G&A,4883.33,634.83,373.57,29.3,3845.63
06/05/2025,E7022,Andrew Scott,G&A,3779.17,491.29,289.11,22.68,2976.09
06/05/2025,E7023,Timothy Davis,G&A,5245.83,681.96,401.31,31.47,4131.09
06/05/2025,E7025,Hiro Harris,G&A,5491.67,713.92,420.11,32.95,4324.69
06/20/2025,E7001,Priya Clark,Warehouse & Ops,2220.83,288.71,169.89,13.32,1748.91
06/20/2025,E7002,Ashley Baker,Warehouse & Ops,2312.5,300.62,176.91,13.88,1821.09
06/20/2025,E7003,Karen Ramirez,Warehouse & Ops,1916.67,249.17,146.63,11.5,1509.37
06/20/2025,E7004,Shirley Williams,Warehouse & Ops,1954.17,254.04,149.49,11.73,1538.91
06/20/2025,E7005,Deborah Gonzalez,Warehouse & Ops,2333.33,303.33,178.5,14.0,1837.5
06/20/2025,E7006,Omar Gonzalez,Warehouse & Ops,1779.17,231.29,136.11,10.68,1401.09
06/20/2025,E7007,Deborah Walker,Warehouse & Ops,2308.33,300.08,176.59,13.85,1817.81
06/20/2025,E7008,Angela Mitchell,Warehouse & Ops,1691.67,219.92,129.41,10.15,1332.19
06/20/2025,E7009,Robert King,Warehouse & Ops,2179.17,283.29,166.71,13.08,1716.09
06/20/2025,E7010,Shirley Walker,Warehouse & Ops,2212.5,287.62,169.26,13.28,1742.34
06/20/2025,E7012,Michelle Smith,Warehouse & Ops,1616.67,210.17,123.68,9.7,1273.12
06/20/2025,E7013,Ashley Davis,Marketing & CS,2325.0,302.25,177.86,13.95,1830.94
06/20/2025,E7014,Steven Hall,Marketing & CS,2654.17,345.04,203.04,15.93,2090.16
06/20/2025,E7015,Ashley Ramirez,Marketing & CS,3450.0,448.5,263.93,20.7,2716.87
06/20/2025,E7016,Melissa Adams,Marketing & CS,3804.17,494.54,291.02,22.83,2995.78
06/20/2025,E7017,George Jackson,Marketing & CS,2641.67,343.42,202.09,15.85,2080.31
06/20/2025,E7018,Eric Roberts,Marketing & CS,2616.67,340.17,200.18,15.7,2060.62
06/20/2025,E7019,Karen Flores,Marketing & CS,3787.5,492.38,289.74,22.73,2982.65
06/20/2025,E7020,Ryan King,Marketing & CS,3454.17,449.04,264.24,20.73,2720.16
06/20/2025,E7021,Timothy Thompson,G&A,4883.33,634.83,373.57,29.3,3845.63
06/20/2025,E7022,Andrew Scott,G&A,3779.17,491.29,289.11,22.68,2976.09
06/20/2025,E7023,Timothy Davis,G&A,5245.83,681.96,401.31,31.47,4131.09
06/20/2025,E7025,Hiro Harris,G&A,5491.67,713.92,420.11,32.95,4324.69
07/05/2025,E7001,Priya Clark,Warehouse & Ops,2220.83,288.71,169.89,13.32,1748.91
07/05/2025,E7002,Ashley Baker,Warehouse & Ops,2312.5,300.62,176.91,13.88,1821.09
07/05/2025,E7003,Karen Ramirez,Warehouse & Ops,1916.67,249.17,146.63,11.5,1509.37
07/05/2025,E7004,Shirley Williams,Warehouse & Ops,1954.17,254.04,149.49,11.73,1538.91
07/05/2025,E7005,Deborah Gonzalez,Warehouse & Ops,2333.33,303.33,178.5,14.0,1837.5
07/05/2025,E7006,Omar Gonzalez,Warehouse & Ops,1779.17,231.29,136.11,10.68,1401.09
07/05/2025,E7007,Deborah Walker,Warehouse & Ops,2308.33,300.08,176.59,13.85,1817.81
07/05/2025,E7008,Angela Mitchell,Warehouse & Ops,1691.67,219.92,129.41,10.15,1332.19
07/05/2025,E7009,Robert King,Warehouse & Ops,2179.17,283.29,166.71,13.08,1716.09
07/05/2025,E7010,Shirley Walker,Warehouse & Ops,2212.5,287.62,169.26,13.28,1742.34
07/05/2025,E7012,Michelle Smith,Warehouse & Ops,1616.67,210.17,123.68,9.7,1273.12
07/05/2025,E7013,Ashley Davis,Marketing & CS,2325.0,302.25,177.86,13.95,1830.94
07/05/2025,E7014,Steven Hall,Marketing & CS,2654.17,345.04,203.04,15.93,2090.16
07/05/2025,E7015,Ashley Ramirez,Marketing & CS,3450.0,448.5,263.93,20.7,2716.87
07/05/2025,E7016,Melissa Adams,Marketing & CS,3804.17,494.54,291.02,22.83,2995.78
07/05/2025,E7017,George Jackson,Marketing & CS,2641.67,343.42,202.09,15.85,2080.31
07/05/2025,E7018,Eric Roberts,Marketing & CS,2616.67,340.17,200.18,15.7,2060.62
07/05/2025,E7019,Karen Flores,Marketing & CS,3787.5,492.38,289.74,22.73,2982.65
