pay_date,employee_name,title,gross_pay,federal_tax,fica,benefits_deduction,net_pay
04/15/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
04/15/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
04/28/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
04/28/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
04/28/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
04/28/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
04/28/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
05/15/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
05/15/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
05/15/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
05/15/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
05/15/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
05/28/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
05/28/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
05/28/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
05/28/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
05/28/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
06/15/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
06/15/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
06/15/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
06/15/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
06/15/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
06/28/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
06/28/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
06/28/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
06/28/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
06/28/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
07/15/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
07/15/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
07/15/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
07/15/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
07/15/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
07/28/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
07/28/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
07/28/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
07/28/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
07/28/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
08/15/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
08/15/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
08/15/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
08/15/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
08/15/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
08/28/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
08/28/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
08/28/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
08/28/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
08/28/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
09/15/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
09/15/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
09/15/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
09/15/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
09/15/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
09/28/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
09/28/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
09/28/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
09/28/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
09/28/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
10/15/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
10/15/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
10/15/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
10/15/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
10/15/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
10/28/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
10/28/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
10/28/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
10/28/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
10/28/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
11/15/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
11/15/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
11/15/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
11/15/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
11/15/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
11/28/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
11/28/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
11/28/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
11/28/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
11/28/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
12/15/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
12/15/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
12/15/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
12/15/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
12/15/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
12/28/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
12/28/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
12/28/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
12/28/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
12/28/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
